cust_id_in,cust_id_out,trx_amount,trx_bankid,trx_clearinnum,trx_country,trx_date,trx_id,trx_type
198,54,147.74391580952468,9446656,6143,NORWAY,1974-05-04,102,ATM
187,118,8.144780954300128,7998554,7717,RUSSIA,1979-01-26,103,SWISH
204,77,336.2885690158636,9768879,3695,SWEDEN,1990-01-08,104,DOMESTIC
126,137,997.8240607378169,7014444,6776,NORWAY,1993-01-31,105,DOMESTIC
365,376,843.4954676755182,2522075,5292,ESTONIA,2008-06-16,106,INTERNATIONAL
126,61,437.3877596639672,1542396,3023,RUSSIA,2017-12-22,107,SWISH
430,145,653.1563879142003,4739701,2586,LATVIA,1984-12-12,108,INTERNATIONAL
395,339,370.577827047866,7863549,5644,RUSSIA,2002-05-14,109,SWISH
358,10,1592.1796004939688,6298107,8315,UK,1990-08-20,110,ATM
119,219,1113.3458541119285,5608543,1005,LATVIA,2004-10-05,111,ATM
14,160,228.01241999208435,8932828,5743,ESTONIA,1986-06-07,112,DOMESTIC
81,336,640.8803063144164,1329239,5347,FINLAND,1988-06-08,113,INTERNATIONAL
261,132,784.8135120445082,9865158,2315,ESTONIA,1981-06-15,114,INTERNATIONAL
434,184,343.55519989284454,2655677,8929,LATVIA,2001-06-19,115,DOMESTIC
228,133,2188.1620782582245,4363958,7441,FINLAND,2012-12-27,116,ATM
67,289,556.8968607554483,4146542,5493,ROMANIA,2015-02-03,117,SWISH
228,357,899.297400790508,6345166,7569,SWEDEN,1971-08-24,118,SWISH
150,254,498.4488832657342,5635169,5113,SWEDEN,1987-01-04,119,SWISH
118,498,477.1981752497231,5520278,4432,SWEDEN,1971-05-11,120,SWISH
96,226,593.6321133168592,7708496,7403,UK,1977-05-09,121,INTERNATIONAL
114,203,669.5275764060747,7350928,6790,FINLAND,2015-05-12,122,DOMESTIC
279,91,298.95768285015504,9125831,8474,LATVIA,1971-07-23,123,SWISH
114,288,1167.4796572542036,6126194,7065,ESTONIA,1994-08-11,124,INTERNATIONAL
450,456,2342.1535791405267,5365020,6710,UK,1987-05-14,125,ATM
248,359,31.173213674855475,6826160,9883,RUSSIA,1992-12-14,126,DOMESTIC
233,213,866.4209010558229,2866786,2109,NORWAY,2018-03-13,127,INTERNATIONAL
121,407,625.5691376151027,2450322,3714,SWEDEN,2003-09-16,128,INTERNATIONAL
109,309,1022.8581919506689,3566759,6822,ROMANIA,1994-11-18,129,DOMESTIC
72,259,572.8015185802016,1611204,1416,LATVIA,1980-05-30,130,DOMESTIC
245,285,430.2819826560741,6691693,7123,NORWAY,2001-05-10,131,DOMESTIC
368,103,554.7900965570054,3638484,2370,ROMANIA,2003-11-01,132,INTERNATIONAL
483,472,188.3720526103266,3176052,9622,LATVIA,1991-02-20,133,SWISH
369,43,1181.110270782767,6457181,5092,ESTONIA,1990-07-23,134,INTERNATIONAL
214,434,597.8911481369763,4600339,6225,RUSSIA,1991-03-02,135,SWISH
478,414,851.1928544087511,4054538,7611,UK,1996-08-10,136,SWISH
414,17,390.55860370015745,7147500,1376,UK,1991-04-08,137,DOMESTIC
92,259,1212.0209377902092,7163129,9835,UK,2012-06-21,138,INTERNATIONAL
221,497,227.73467651429365,5688574,3814,LATVIA,1995-12-07,139,SWISH
128,239,1307.1553822200399,7385904,9877,UK,2016-07-07,140,ATM
482,212,646.5104819109351,3649123,7052,UK,2016-11-04,141,INTERNATIONAL
424,420,1077.0856542875772,9449394,9982,UK,2009-02-15,142,ATM
376,317,1227.2628697607963,4956276,3258,ESTONIA,1972-08-31,143,SWISH
253,287,2193.1829733429354,9971412,3105,NORWAY,1979-09-10,144,DOMESTIC
117,244,150.41485887116662,2150393,8648,UK,2010-02-28,145,INTERNATIONAL
77,148,192.68240021552495,5187441,5248,UK,1990-03-11,146,INTERNATIONAL
73,426,1903.6213938066865,2006692,5910,RUSSIA,1992-04-06,147,SWISH
6,88,627.4441316478986,6429964,4012,SWEDEN,2004-04-21,148,DOMESTIC
74,286,551.1513791077787,777245,2913,NORWAY,2009-04-21,149,DOMESTIC
19,56,526.1583420456466,9193001,3379,FINLAND,2001-08-23,150,ATM
493,22,70.69193033455548,2062514,8833,ESTONIA,2006-12-07,151,DOMESTIC
322,266,349.3232415248453,4262733,7688,UK,1997-04-27,152,DOMESTIC
325,408,685.2535562883911,7649460,1460,FINLAND,2017-11-10,153,INTERNATIONAL
35,80,62.0293616904303,8092718,3289,SWEDEN,1994-04-13,154,DOMESTIC
217,391,155.50346286159288,2681124,6741,RUSSIA,2014-03-06,155,ATM
44,111,2343.804647244977,5280518,7870,UK,1977-12-13,156,SWISH
308,458,917.6435921679982,5557274,1542,ROMANIA,1994-09-18,157,SWISH
251,45,770.7432077508338,3922263,2863,NORWAY,1988-05-15,158,SWISH
386,381,490.6662681988704,3574706,7730,ROMANIA,1979-05-21,159,ATM
289,216,47.99514487693855,6068902,6714,RUSSIA,1984-12-14,160,SWISH
431,276,232.328392656452,9747165,6521,UK,2007-08-18,161,ATM
339,474,958.2149417845403,2610001,6638,ESTONIA,1982-09-12,162,ATM
488,174,442.3122624007,4795727,3682,LATVIA,2002-03-17,163,ATM
405,319,253.14282410278844,934462,2540,ESTONIA,2012-05-01,164,ATM
61,147,1486.9963792169244,3884737,7194,RUSSIA,1980-05-05,165,SWISH
336,61,1305.5612248352484,1738382,7438,FINLAND,2007-07-11,166,INTERNATIONAL
213,317,37.92636592222428,7309331,4756,LATVIA,2014-10-25,167,INTERNATIONAL
328,339,1319.392916635698,2942003,2125,NORWAY,1983-05-04,168,DOMESTIC
149,102,1326.889192255378,3300176,4658,RUSSIA,1994-03-26,169,SWISH
294,284,1265.7273097035472,5727343,2659,RUSSIA,1978-11-02,170,SWISH
445,179,102.89052046079642,9112922,6014,FINLAND,1983-12-12,171,ATM
253,12,1858.351056934246,2506995,6417,UK,2015-04-16,172,ATM
166,254,1087.9211193898514,8674808,8546,SWEDEN,1989-05-01,173,DOMESTIC
382,277,1347.7371487229755,2412370,5520,SWEDEN,2013-01-29,174,SWISH
449,191,1182.0884536195133,6367955,8517,RUSSIA,1982-12-22,175,SWISH
446,288,766.3863814018295,751494,1642,ROMANIA,2006-07-12,176,INTERNATIONAL
239,69,610.8857517930844,4497139,1073,LATVIA,1997-07-20,177,INTERNATIONAL
254,414,1937.7283575881966,2447321,7060,UK,1978-08-11,178,ATM
45,471,61.498157213196606,420858,6925,SWEDEN,1975-07-05,179,ATM
50,138,590.367552068665,6548122,6428,SWEDEN,1990-03-25,180,INTERNATIONAL
407,115,2402.1465716510866,2381391,9932,FINLAND,2009-07-13,181,ATM
77,250,626.0555499241239,2338710,2063,ROMANIA,2012-11-25,182,DOMESTIC
272,78,365.7057576967571,6050259,6048,NORWAY,1984-09-12,183,ATM
250,397,1189.1176063272258,1690458,1970,SWEDEN,2016-01-04,184,DOMESTIC
216,311,354.2538769197532,3744382,3661,ESTONIA,1988-10-11,185,SWISH
104,476,763.1169128797069,1986523,4447,RUSSIA,1991-11-15,186,ATM
242,164,113.89038563139246,4814178,1252,RUSSIA,2017-02-23,187,DOMESTIC
264,455,381.03234858206844,9892038,8611,RUSSIA,2013-07-31,188,INTERNATIONAL
417,97,1792.1576165897723,1034192,6224,NORWAY,1998-12-28,189,DOMESTIC
314,295,377.2404570760814,4501406,8827,SWEDEN,1978-07-07,190,DOMESTIC
304,147,464.39677180380005,6430425,6154,FINLAND,1996-10-06,191,INTERNATIONAL
415,95,261.9421046490435,5119330,6071,RUSSIA,1970-03-30,192,DOMESTIC
180,129,2876.3678642576283,3797125,4613,RUSSIA,1989-04-26,193,DOMESTIC
428,304,769.4322118779537,852431,9194,NORWAY,1999-02-12,194,INTERNATIONAL
372,492,1289.9724577304462,9772985,8910,SWEDEN,1972-10-09,195,DOMESTIC
40,129,222.89377401352192,5817588,5210,UK,1997-06-24,196,DOMESTIC
277,472,2551.672340691866,128768,8090,ESTONIA,2013-04-27,197,ATM
454,94,873.1905146925957,3270798,6487,ROMANIA,1990-01-10,198,DOMESTIC
291,80,119.93744077188673,5116274,9479,ROMANIA,1986-06-06,199,DOMESTIC
380,413,3554.553742251759,904320,2565,UK,2005-11-06,200,SWISH
94,17,2.361063412648988,9649566,2056,UK,2007-06-05,201,ATM
323,51,1144.392996786664,6016187,2177,FINLAND,1999-03-07,202,INTERNATIONAL
370,197,1424.013958941767,6303400,4242,FINLAND,2017-09-05,203,DOMESTIC
489,44,1409.6063373086172,2504309,1646,LATVIA,1975-10-23,204,ATM
185,332,89.90213663444403,211181,9161,UK,1987-03-19,205,ATM
66,400,499.68404130416934,3220846,5641,FINLAND,1996-03-18,206,INTERNATIONAL
80,480,1371.603120393844,2470931,2725,ROMANIA,1975-01-21,207,INTERNATIONAL
326,132,305.2233547146518,3293135,8473,ROMANIA,1970-10-17,208,ATM
239,233,176.5427549945415,9109412,2739,FINLAND,2008-05-13,209,DOMESTIC
196,481,453.73939334380304,2332410,3349,RUSSIA,1995-07-06,210,DOMESTIC
159,260,331.5106705193547,1874665,7158,UK,1971-07-27,211,DOMESTIC
31,367,1538.653805445192,4138572,4267,RUSSIA,1971-10-20,212,INTERNATIONAL
381,85,1140.4358088829817,6489033,5789,ROMANIA,1994-09-06,213,INTERNATIONAL
223,116,280.08858174048135,8992519,5999,SWEDEN,2014-01-15,214,ATM
277,125,92.6039213655207,3159005,1054,LATVIA,2012-03-24,215,SWISH
472,262,318.95015626195647,3652297,5936,ROMANIA,1979-07-02,216,DOMESTIC
407,9,1994.8610470042813,4692779,2314,NORWAY,2016-11-13,217,INTERNATIONAL
102,290,1059.7216070720863,749429,2424,UK,1971-10-20,218,ATM
470,124,424.73920083116866,3827420,1501,RUSSIA,1991-07-03,219,ATM
124,472,1254.833024942766,5106204,8876,NORWAY,2002-04-20,220,ATM
476,29,1338.9053449634255,3379875,9219,SWEDEN,2000-04-29,221,ATM
13,484,1545.4974439487146,9708756,7349,LATVIA,1976-01-20,222,SWISH
250,321,302.7868705081696,7899794,6320,SWEDEN,2002-08-10,223,INTERNATIONAL
462,147,1118.5809247422876,2988768,9877,ESTONIA,2012-04-09,224,DOMESTIC
217,370,1709.7123468738407,4215947,9420,RUSSIA,1989-03-11,225,DOMESTIC
186,478,153.19838398603898,1106586,6608,RUSSIA,2009-08-07,226,SWISH
388,87,1319.3753297072992,1719201,1715,RUSSIA,2011-09-23,227,SWISH
472,354,76.07817886475577,5432216,4897,SWEDEN,1987-10-19,228,DOMESTIC
172,410,290.5066852398119,854263,8489,LATVIA,1971-04-12,229,DOMESTIC
390,399,1768.4552964065501,1483428,6941,LATVIA,2010-07-06,230,INTERNATIONAL
162,286,501.3533963773046,5043347,5326,UK,1976-03-17,231,SWISH
49,157,1177.6506786026448,6232545,5066,FINLAND,1999-12-10,232,INTERNATIONAL
309,134,636.4373725157494,3889700,7602,RUSSIA,1977-12-18,233,DOMESTIC
222,69,3.7425786132887304,5911388,5553,LATVIA,1995-03-26,234,DOMESTIC
366,268,608.1289420829868,2227016,9666,LATVIA,1984-08-06,235,DOMESTIC
383,418,714.4272199299313,4280152,2141,LATVIA,1998-12-16,236,DOMESTIC
384,43,1006.5904502611767,363592,8248,FINLAND,1979-03-23,237,SWISH
204,452,1587.0853790179574,232097,5086,RUSSIA,2016-02-22,238,DOMESTIC
156,236,435.84524880452346,1373256,4889,ROMANIA,2009-09-19,239,INTERNATIONAL
437,262,655.0270139043308,6713365,8980,ESTONIA,2017-06-03,240,SWISH
175,377,1001.6052748744905,9126598,4265,LATVIA,1982-12-31,241,DOMESTIC
485,157,381.88065098075754,4875067,9413,FINLAND,1998-11-20,242,DOMESTIC
180,436,1473.8877156333444,2377973,2952,UK,2013-06-27,243,INTERNATIONAL
65,234,1342.5331546371574,7295043,6153,ROMANIA,2004-04-03,244,INTERNATIONAL
94,214,719.6600417341557,4988000,9163,SWEDEN,1976-02-24,245,INTERNATIONAL
295,185,1602.5748547966368,8615336,4045,FINLAND,1990-11-04,246,INTERNATIONAL
21,4,612.7090963033457,484461,4575,NORWAY,1993-08-15,247,DOMESTIC
35,423,315.46917889088235,1676755,6369,SWEDEN,1978-08-12,248,INTERNATIONAL
456,180,1080.7765958358336,4243497,5099,ROMANIA,1973-08-09,249,DOMESTIC
161,497,1877.4652896494974,4959308,7854,FINLAND,1978-02-01,250,SWISH
200,19,491.82212473506695,68426,3539,ROMANIA,1999-09-25,251,DOMESTIC
408,209,527.0115939306179,3552018,8148,FINLAND,1987-03-05,252,SWISH
342,382,202.83109585763137,6141061,9093,LATVIA,1985-05-07,253,INTERNATIONAL
231,344,608.5044071177676,5577177,7560,UK,1994-05-31,254,INTERNATIONAL
322,123,473.2848156763021,382279,8110,ESTONIA,2009-03-27,255,INTERNATIONAL
338,187,1018.8648707073833,712787,5163,LATVIA,2015-07-31,256,INTERNATIONAL
390,420,341.03486546722104,8367098,6172,ESTONIA,1973-10-23,257,INTERNATIONAL
192,360,2078.237006929645,8605332,8418,FINLAND,1980-08-30,258,INTERNATIONAL
315,78,1025.6873103754547,6909856,8053,UK,1981-02-10,259,SWISH
323,273,1269.4107632357975,4037941,9848,RUSSIA,2018-06-15,260,DOMESTIC
442,215,1076.3706593895754,407942,1223,FINLAND,1988-09-04,261,ATM
263,8,507.0772970211601,3443536,3085,SWEDEN,1992-02-25,262,SWISH
367,371,2041.9413479168024,9868989,2998,UK,2003-04-27,263,INTERNATIONAL
158,465,513.3654134054538,4448817,2287,SWEDEN,1988-12-19,264,INTERNATIONAL
50,480,2903.3791045798666,1725864,4363,ROMANIA,1993-10-30,265,DOMESTIC
400,271,2265.1260806181585,7721051,3360,ROMANIA,1992-02-12,266,DOMESTIC
223,388,284.70591748573366,8523346,8764,LATVIA,2000-03-18,267,ATM
298,488,929.7037086135421,6597798,6089,SWEDEN,2008-08-15,268,INTERNATIONAL
414,258,440.58902847470796,742382,5436,ROMANIA,1975-04-13,269,SWISH
233,137,32.78077653345553,6074148,1854,SWEDEN,2017-10-08,270,INTERNATIONAL
53,109,1076.5066515078727,2209547,9163,UK,1993-09-08,271,ATM
148,11,1376.4794154312608,8159621,8975,ESTONIA,1993-03-07,272,DOMESTIC
235,459,840.6506828183757,1085267,9884,SWEDEN,1977-09-12,273,ATM
467,345,891.6232786593768,9677895,8748,FINLAND,1984-10-02,274,SWISH
13,16,1381.4626033851116,1960398,4217,ESTONIA,2007-07-24,275,DOMESTIC
6,214,419.66666097498444,9955982,2636,ESTONIA,1982-12-25,276,ATM
252,23,1088.868662963498,1982015,2868,NORWAY,1999-04-09,277,ATM
117,194,555.3857834657931,6796475,3387,NORWAY,2016-08-13,278,DOMESTIC
201,327,231.48158727404297,8759024,5056,RUSSIA,1995-01-03,279,DOMESTIC
234,329,29.17356522883035,8524440,2426,ESTONIA,1973-05-07,280,DOMESTIC
231,210,799.1469078646223,1852170,3389,UK,1988-03-19,281,INTERNATIONAL
31,203,500.34193180659656,6161385,1726,ESTONIA,1995-05-04,282,DOMESTIC
403,334,1001.5376785479875,6056035,2089,SWEDEN,1986-11-08,283,ATM
166,237,322.06560590314035,3448485,8958,SWEDEN,1986-07-12,284,INTERNATIONAL
100,191,2298.53046422316,4730246,8106,ESTONIA,1979-12-14,285,ATM
152,216,578.0116697476551,6398845,6136,ESTONIA,1981-10-29,286,SWISH
366,316,554.8879117089203,6365519,7785,NORWAY,1994-01-29,287,SWISH
250,348,479.9993186533222,9157214,5770,RUSSIA,1976-05-10,288,SWISH
30,361,81.44579921016255,8907292,8526,LATVIA,1986-09-21,289,INTERNATIONAL
418,135,1104.3641070837302,7383724,4215,ESTONIA,1975-05-21,290,SWISH
476,105,676.5459336898944,4826784,3041,NORWAY,1972-10-06,291,SWISH
211,209,1269.2098398738353,1061568,5803,ESTONIA,1971-10-03,292,ATM
373,103,533.9219574925654,1213198,1950,SWEDEN,1983-07-25,293,ATM
243,406,312.0318811112411,3351491,3552,LATVIA,2001-12-09,294,ATM
417,458,148.7736840105248,4397093,6390,LATVIA,1982-08-31,295,SWISH
292,130,105.59231310646298,9984272,6489,LATVIA,1990-06-26,296,INTERNATIONAL
226,105,165.0846660828564,8259991,6000,LATVIA,1995-04-22,297,SWISH
418,188,1913.431669167476,3816957,1468,FINLAND,1971-02-11,298,SWISH
499,17,882.7195264086571,9521563,1244,ESTONIA,1986-07-13,299,INTERNATIONAL
282,469,1072.0654545831042,1435964,1204,ESTONIA,1994-11-19,300,INTERNATIONAL
189,305,1339.1087597175303,5779659,1220,ROMANIA,2010-08-20,301,DOMESTIC
447,205,214.5560161783813,1628500,1670,ESTONIA,2001-02-03,302,ATM
376,9,565.6734539347513,4564581,9515,ESTONIA,2004-01-17,303,SWISH
194,247,9.051817356445728,7374890,7680,LATVIA,1980-03-25,304,ATM
366,424,100.36994457934857,535748,1578,SWEDEN,1986-05-29,305,SWISH
235,163,90.76023328451548,7600983,6315,ROMANIA,2006-09-04,306,DOMESTIC
408,343,1210.2789791167197,6469978,5288,RUSSIA,2007-04-12,307,ATM
452,369,1130.8081997568086,1165590,3288,NORWAY,1991-06-29,308,SWISH
387,46,559.0965980096379,2829301,9638,UK,1977-08-22,309,INTERNATIONAL
424,410,1203.7662642198552,210468,8787,ROMANIA,2017-04-28,310,DOMESTIC
63,343,174.1164950637675,3704192,3147,FINLAND,1999-01-29,311,ATM
255,362,1566.8325508385385,8834186,6051,FINLAND,1987-07-07,312,ATM
68,351,639.6936959978138,2973441,4748,ESTONIA,1996-12-10,313,ATM
42,241,696.0749902571871,8414121,9788,FINLAND,2008-10-16,314,DOMESTIC
212,438,2447.721501293921,5897634,8296,SWEDEN,2014-06-07,315,ATM
367,167,728.4046987537763,8368504,6187,FINLAND,2018-07-08,316,ATM
28,417,1435.1449390821351,4530361,3891,RUSSIA,1999-12-28,317,ATM
275,182,1125.1125773794731,9445313,5821,UK,1988-12-07,318,SWISH
168,259,836.5829228428007,1264353,8171,SWEDEN,1986-06-08,319,SWISH
67,404,1187.9851032635527,2900706,7218,SWEDEN,1984-02-17,320,INTERNATIONAL
279,61,899.0140746832283,2268259,2062,FINLAND,1976-12-26,321,DOMESTIC
314,197,420.5427636988701,5582941,9155,RUSSIA,1984-11-28,322,ATM
359,55,824.757463126939,7904800,8877,ROMANIA,2003-11-29,323,DOMESTIC
181,197,1542.576100387774,833117,8623,UK,1989-06-13,324,INTERNATIONAL
395,381,1013.8494785963836,2685090,9970,ROMANIA,1993-07-02,325,DOMESTIC
407,193,1068.0138019151534,3789221,9377,LATVIA,1976-03-05,326,ATM
100,475,308.363193467055,3476086,7014,ROMANIA,1976-11-17,327,INTERNATIONAL
157,479,2122.7952686776757,6356387,1174,UK,2013-05-25,328,DOMESTIC
261,14,184.1728016368397,4911902,7171,LATVIA,1974-05-02,329,INTERNATIONAL
342,199,888.7091759868227,3627286,4007,FINLAND,1973-01-06,330,ATM
335,69,1422.2948993499263,3655766,7297,RUSSIA,1971-09-09,331,INTERNATIONAL
353,244,1051.0531108432099,9738005,4805,NORWAY,2006-06-12,332,ATM
388,243,1238.8783872523836,7302444,4381,ESTONIA,1991-06-09,333,ATM
252,256,566.9091539275612,3175731,5641,FINLAND,2011-08-14,334,SWISH
373,415,1281.5166198239542,7300582,5335,RUSSIA,2006-09-10,335,SWISH
102,33,587.6876098695734,8630101,1832,UK,1992-05-10,336,DOMESTIC
